,axis1,axis2,axis3,axis4,axis5,Bankrupt
0,-7.338295800692435,0.37337951267017633,0.3081587162775418,1.0218566168645484,-0.16372438586703464,1
1,-2.7037128197432305,-0.9863666187518857,2.1564550914633727,2.474459953928225,-0.8356384524111298,1
2,-4.30705536268702,-0.4047775557390444,0.31331893472900113,0.7322603420614052,-0.33124615306740607,1
3,-5.830735494756039,-1.3856679927820967,1.3013130556746237,2.160392345869229,-0.731231005382765,1
4,-2.343200166780077,-0.2015914015453524,-0.8075506431760342,0.8950413875975973,-0.20645801499712074,1
5,-6.681857597614324,-0.7740935376597812,0.9264587653974026,1.6133778994029586,-0.43417254731199495,1
6,-5.855966488573646,0.08212122222951432,0.6284692273724803,0.03333337140978659,-0.1859417554085491,0
7,-0.44864017153694996,0.2036868535503664,-0.4878022675454555,1.1861842008702366,-0.3345184009527473,0
8,-0.530649433983702,-1.3119722220842256,0.0038995883908296254,-0.5848148990750622,-0.009905219166896153,0
9,-0.3660748890542046,0.7356263428862893,-1.24703347087565,0.46898344252638796,-0.1447049556128029,0
10,-1.2171725989206885,-1.5095338592020517,2.7065685932173325,2.1808209447914666,-0.6580321217800301,0
11,-1.6008695982918746,-1.813439479471496,2.0753863404707005,0.46846371516049584,-0.3588442547518028,0
12,-1.6415976496149425,-0.10204703340113484,0.5058026510017986,1.3637061095724416,-0.4135107181314986,0
13,-1.7375129876618354,-0.8929139846005476,0.45334511160546354,1.0765632810748225,-0.4651319987611412,0
14,-0.42859104902815576,-1.5019300483006885,2.7606147824280063,2.463458217592576,-0.90533477518395,0
15,0.0035048863347832367,-0.7448117848810254,1.392329765387446,0.6271262031588524,-0.3056041297106041,0
16,-0.9933648056156044,-2.3636291843481305,2.863732368558948,1.3993547311849048,-0.61126335098434,0
17,1.0272254257903985,-0.9116678657881987,1.5993839026893695,0.6420637367507883,-0.35222229601336263,0
18,-1.1796258716255743,0.17609038967727916,0.42485584365434714,1.606962926172546,-0.4427299163509838,0
19,-0.19866579072304905,-1.311077885405181,0.8765014833261155,-0.8608326795445362,-0.03257927510176823,0
20,-0.38635344311960806,-2.497787068658825,3.948457247994902,1.8437978577801957,-0.9090617964872894,0
21,0.55147117054031,-0.5623571289273335,-0.03135453207148916,-0.4026722469624376,-0.08240267669982418,0
